company_name,reporting_year,data_provider,jurisdiction,sics_sector,total_s3_emissions_ghg,total_s3_ghgp_c1_emissions_ghg,total_s3_ghgp_c2_emissions_ghg,total_s3_ghgp_c3_emissions_ghg,total_s3_ghgp_c4_emissions_ghg,total_s3_ghgp_c5_emissions_ghg,total_s3_ghgp_c6_emissions_ghg,total_s3_ghgp_c7_emissions_ghg,total_s3_ghgp_c8_emissions_ghg,total_s3_ghgp_c9_emissions_ghg,total_s3_ghgp_c10_emissions_ghg,total_s3_ghgp_c11_emissions_ghg,total_s3_ghgp_c12_emissions_ghg,total_s3_ghgp_c13_emissions_ghg,total_s3_ghgp_c14_emissions_ghg,total_s3_ghgp_c15_emissions_ghg,total_s3_ghgp_other_emissions_ghg,company_url
SPK Corporation,2023,CDP,Japan,Consumer Goods,,,,,,,,,,,,,,,,,,https://nzdpu.com/companies/21275?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Starzen Co Ltd,2023,CDP,Japan,Food & Beverage,"5,858,372 tCO₂e","5,526,112 tCO₂e","4,932 tCO₂e","4,613 tCO₂e","248,467 tCO₂e",966 tCO₂e,223 tCO₂e,583 tCO₂e,,"8,792 tCO₂e","59,758 tCO₂e","2,750 tCO₂e","1,176 tCO₂e",,,,,https://nzdpu.com/companies/18947?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Sumitomo Corporation,2023,CDP,Japan,Consumer Goods,"11,852,884 tCO₂e","1,326,844 tCO₂e","1,053,674 tCO₂e","208,821 tCO₂e","3,999 tCO₂e",6 tCO₂e,"10,284 tCO₂e",511 tCO₂e,"1,319 tCO₂e",,"8,408 tCO₂e","9,203,054 tCO₂e","4,333 tCO₂e","31,631 tCO₂e",,,,https://nzdpu.com/companies/15335?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"TAKACHIHO KOHEKI CO.,LTD.",2023,CDP,Japan,Consumer Goods,"64,576 tCO₂e","64,323 tCO₂e",,,,,163 tCO₂e,90 tCO₂e,,,,,,,,,,https://nzdpu.com/companies/21352?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
TAKARA HOLDINGS INC.,2023,CDP,Japan,Food & Beverage,"795,286.4 tCO₂e","605,552 tCO₂e","8,864 tCO₂e","16,226 tCO₂e","105,474 tCO₂e",764.4 tCO₂e,230 tCO₂e,574 tCO₂e,,"5,092 tCO₂e",,,"52,248 tCO₂e",262 tCO₂e,,,,https://nzdpu.com/companies/23087?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Takashimaya Company, Limited",2023,CDP,Japan,Consumer Goods,"4,264,125 tCO₂e","2,614,330 tCO₂e","40,931 tCO₂e","25,108 tCO₂e","27,422 tCO₂e","3,092 tCO₂e",547 tCO₂e,"1,176,132 tCO₂e",,"317,823 tCO₂e",,"51,969 tCO₂e","6,771 tCO₂e",,,,,https://nzdpu.com/companies/15386?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"The Nisshin OilliO Group,Ltd.",2023,CDP,Japan,Food & Beverage,"3,910,140 tCO₂e","3,406,798 tCO₂e","11,739 tCO₂e","39,328 tCO₂e","339,903 tCO₂e","4,519 tCO₂e",182 tCO₂e,400 tCO₂e,,"18,060 tCO₂e","44,396 tCO₂e","17,577 tCO₂e","27,184 tCO₂e",54 tCO₂e,,,,https://nzdpu.com/companies/17005?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"TOKYO BASE Co.,Ltd.",2023,CDP,Japan,Consumer Goods,"15,172 tCO₂e","11,079 tCO₂e","1,342 tCO₂e",,"1,221 tCO₂e",30 tCO₂e,160 tCO₂e,,"1,206 tCO₂e",,,,134 tCO₂e,,,,,https://nzdpu.com/companies/21291?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
TOLI Corporation,2023,CDP,Japan,Consumer Goods,"376,990.69 tCO₂e","318,175.14 tCO₂e","11,551.34 tCO₂e","6,851.3 tCO₂e","12,323.69 tCO₂e","3,081.71 tCO₂e",387.8 tCO₂e,848 tCO₂e,,,94.81 tCO₂e,,"23,676.9 tCO₂e",,,,,https://nzdpu.com/companies/24621?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Toto Ltd.,2023,CDP,Japan,Consumer Goods,"18,166,105 tCO₂e","751,317 tCO₂e","174,941 tCO₂e","47,277 tCO₂e","62,390 tCO₂e","8,947 tCO₂e","4,704 tCO₂e","15,076 tCO₂e",,"51,787 tCO₂e",,"17,018,691 tCO₂e","30,975 tCO₂e",,,,,https://nzdpu.com/companies/13849?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Toyo Suisan Kaisha, Ltd.",2023,CDP,Japan,Food & Beverage,"823,779 tCO₂e","701,669 tCO₂e","31,083 tCO₂e","35,471 tCO₂e","40,790 tCO₂e","3,684 tCO₂e",561 tCO₂e,"2,314 tCO₂e",,"2,939 tCO₂e",,,"4,352 tCO₂e",916 tCO₂e,,,,https://nzdpu.com/companies/19089?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"Toyobo Co., Ltd.",2023,CDP,Japan,Consumer Goods,"5,291,338 tCO₂e","2,054,907 tCO₂e","54,966 tCO₂e","113,764 tCO₂e","49,746 tCO₂e","52,739 tCO₂e","7,403 tCO₂e","5,617 tCO₂e",,,,"2,745,267 tCO₂e","206,929 tCO₂e",,,,,https://nzdpu.com/companies/13856?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
United Arrows Ltd,2023,CDP,Japan,Consumer Goods,"260,250 tCO₂e","233,127 tCO₂e","3,827 tCO₂e","1,656 tCO₂e","15,645 tCO₂e",200 tCO₂e,422 tCO₂e,962 tCO₂e,,,,,"4,340 tCO₂e",,71 tCO₂e,,,https://nzdpu.com/companies/23389?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
"YAKULT HONSHA CO., LTD.",2023,CDP,Japan,Food & Beverage,"387,328 tCO₂e","311,574 tCO₂e","25,868 tCO₂e","12,878 tCO₂e",,538 tCO₂e,450 tCO₂e,"1,282 tCO₂e",,,,,"18,761 tCO₂e","15,977 tCO₂e",,,,https://nzdpu.com/companies/15575?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
Yamaha Corp.,2023,CDP,Japan,Consumer Goods,"1,030,965 tCO₂e","386,053 tCO₂e","65,731 tCO₂e","8,052 tCO₂e","100,138 tCO₂e","5,884 tCO₂e","1,692 tCO₂e","10,880 tCO₂e",,"22,866 tCO₂e",,"422,788 tCO₂e","6,881 tCO₂e",,,,,https://nzdpu.com/companies/14067?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
YAMATANE CORPORATION,2023,CDP,Japan,Food & Beverage,"157,421 tCO₂e","124,747 tCO₂e","22,801 tCO₂e","2,438 tCO₂e","4,471 tCO₂e",33 tCO₂e,68 tCO₂e,354 tCO₂e,78 tCO₂e,880 tCO₂e,,,6 tCO₂e,"1,545 tCO₂e",,,,https://nzdpu.com/companies/24595?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
YONDOSHI HOLDINGS INC.,2023,CDP,Japan,Consumer Goods,"80,534 tCO₂e","63,831 tCO₂e","3,434.7 tCO₂e","1,834.3 tCO₂e",288 tCO₂e,48.6 tCO₂e,166.6 tCO₂e,"2,402.1 tCO₂e","4,469.9 tCO₂e",43.1 tCO₂e,"2,437.5 tCO₂e",,"1,294.6 tCO₂e",,283.6 tCO₂e,,,https://nzdpu.com/companies/19761?activeEmissionsView=disclosure_by_year&year=2023&disclosureTab=SCOPE1&dataProvider=CDP
